source,target,Genre,Track,Year,Popularity
Ella Fitzgerald,Count Basie,blues,Them There Eyes,1963,27
Ella Fitzgerald,Count Basie,blues,Into Each Life Some Rain Must Fall,1963,26
Ella Fitzgerald,Count Basie,blues,I'm Beginning To See The Light,1963,27
Ella Fitzgerald,Joe Pass,blues,Take Love Easy,1973,24
Ella Fitzgerald,Joe Pass,blues,Don't Be That Way,1973,21
Ella Fitzgerald,Joe Pass,blues,"Gee Baby, Ain't I Good To You",1973,21
Ella Fitzgerald,Joe Pass,blues,Once I Loved,1973,21
Ella Fitzgerald,Joe Pass,blues,Nature Boy,1976,57
Ella Fitzgerald,Joe Pass,blues,One Note Samba,1976,32
Ella Fitzgerald,Joe Pass,blues,'Tis Autumn,1976,28
Ella Fitzgerald,Joe Pass,blues,I Ain't Got Nothing But The Blues,1976,29
Ella Fitzgerald,Joe Pass,blues,I've Got The World On A String,1976,23
Ella Fitzgerald,Joe Pass,blues,Rain,1976,23
Ella Fitzgerald,Joe Pass,blues,My Old Flame,1976,24
Ella Fitzgerald,Joe Pass,blues,Solitude,1976,23
Ella Fitzgerald,Joe Pass,blues,Tennessee Waltz,1976,23
Ella Fitzgerald,Joe Pass,blues,That Old Feeling,1976,24
Ella Fitzgerald,Joe Pass,blues,All Too Soon,1976,22
Ella Fitzgerald,Joe Pass,blues,You Took Advantage Of Me,1976,22
Ella Fitzgerald,Joe Pass,blues,The One I Love (Belongs To Somebody Else),1976,21
Ella Fitzgerald,Joe Pass,blues,At Last,1983,26
Ella Fitzgerald,Joe Pass,blues,Speak Low,1983,23
Ella Fitzgerald,Joe Pass,blues,On Green Dolphin Street,1986,23
Ella Fitzgerald,Oscar Peterson,blues,I Hear Music,1976,45
Cannonball Adderley,Nancy Wilson,soul,The Masquerade Is Over,1962,56
Cannonball Adderley,Nancy Wilson,soul,Save Your Love For Me,1962,43
Cannonball Adderley,Milt Jackson,soul,Things Are Getting Better,1989,20
Cannonball Adderley,Milt Jackson,soul,Groovin' High,2013,24
Milt Jackson,Oscar Peterson,soul,On Green Dolphin Street,1961,21
Milt Jackson,Oscar Peterson,soul,Work Song,1961,20
Milt Jackson,Ray Charles,soul,How Long Blues,1989,22
Milt Jackson,John Coltrane,soul,Stairway to the Stars - Alternate Take,2005,25
Milt Jackson,Wes Montgomery,soul,S.K.J.,2008,29
Milt Jackson,Wes Montgomery,soul,Jingles (Take 9),2008,26
Milt Jackson,Wes Montgomery,soul,Sam Sack,2008,25
Milt Jackson,Wes Montgomery,soul,Stairway To The Stars (Take 3),2008,22
Oscar Peterson,Ben Webster,soul,Sunday,1992,41
Oscar Peterson,Ben Webster,soul,In The Wee Small Hours Of The Morning,1993,43
Oscar Peterson,Ben Webster,soul,Bye Bye Blackbird,1995,27
Oscar Peterson,Ben Webster,soul,When Your Lover Has Gone,1997,48
Oscar Peterson,Ben Webster,soul,The Touch Of Your Lips,1997,34
Oscar Peterson,Ben Webster,soul,How Deep Is The Ocean (How High Is The Sky),1997,32
Oscar Peterson,Ben Webster,soul,This Can't Be Love,1997,25
Patsy Cline,The Jordanaires,rock,Crazy - Single Version,1961,69
Patsy Cline,The Jordanaires,rock,I Fall To Pieces - Single Version,1961,64
Patsy Cline,The Jordanaires,rock,Walkin' After Midnight,1961,47
Patsy Cline,The Jordanaires,rock,San Antonio Rose,1961,44
Patsy Cline,The Jordanaires,rock,The Wayward Wind,1961,41
Patsy Cline,The Jordanaires,rock,Seven Lonely Days,1961,40
Patsy Cline,The Jordanaires,rock,Foolin' 'Round,1961,38
Patsy Cline,The Jordanaires,rock,Have You Ever Been Lonely (Have You Ever Been Blue),1961,37
Patsy Cline,The Jordanaires,rock,South Of The Border (Down Mexico Way),1961,37
Patsy Cline,The Jordanaires,rock,A Poor Man's Roses (Or A Rich Man's Gold),1961,36
Patsy Cline,The Jordanaires,rock,You Belong To Me,1962,52
Patsy Cline,The Jordanaires,rock,Your Cheatin' Heart,1962,48
Patsy Cline,The Jordanaires,rock,You Made Me Love You (I Didn't Want To Do It),1962,42
Patsy Cline,The Jordanaires,rock,Heartaches,1962,40
Patsy Cline,The Jordanaires,rock,Anytime,1962,35
Patsy Cline,The Jordanaires,rock,Half As Much,1962,34
Patsy Cline,The Jordanaires,rock,Lonely Street,1962,34
Patsy Cline,The Jordanaires,rock,That's My Desire,1962,28
Patsy Cline,The Jordanaires,rock,I Can't Help It (If I'm Still In Love With You),1962,27
Patsy Cline,The Jordanaires,rock,You Were Only Fooling (While I Was Falling In Love),1962,25
Patsy Cline,The Jordanaires,rock,Imagine That - Single Version,1963,33
Patsy Cline,The Jordanaires,rock,Tra Le La Le La Triangle - Single Version,1963,20
Patsy Cline,The Jordanaires,rock,Blue Moon Of Kentucky - Single Version,1988,38
Patsy Cline,The Jordanaires,rock,Always,1988,38
Patsy Cline,The Jordanaires,rock,He Called Me Baby - Single Version,1988,37
Patsy Cline,The Jordanaires,rock,Someday (You'll Want Me To Want You) - Single Version,1988,35
Patsy Cline,The Jordanaires,rock,Crazy Arms,1988,34
The Jordanaires,Elvis Presley,rock,Gently,1961,25
The Jordanaires,Elvis Presley,rock,I Don't Wanna Be Tied,1962,24
The Jordanaires,Elvis Presley,rock,Earth Boy,1962,22
The Jordanaires,Elvis Presley,rock,The Walls Have Ears,1962,21
The Jordanaires,Elvis Presley,rock,Where Do You Come From,1962,21
The Jordanaires,Elvis Presley,rock,Don't,2002,49
The Jordanaires,Dolly Parton,pop,Save the Last Dance for Me (with The Jordanaires),1984,43
Nancy Wilson,Ron McMaster,soul,I Wish You Love,2004,60
Nancy Wilson,Ron McMaster,soul,Teach Me Tonight,2004,43
Nancy Wilson,Ron McMaster,soul,Guess Who I Saw Today - Remastered/2004,2004,38
Nancy Wilson,Ron McMaster,soul,I'm Gonna Laugh You Right Out Of My Life - Remastered,2004,27
Nancy Wilson,Ron McMaster,soul,What A Little Moonlight Can Do - Remastered,2004,25
Nancy Wilson,Ron McMaster,soul,He's My Guy,2004,25
Nancy Wilson,Ron McMaster,soul,(They Call It) Stormy Monday,2004,23
Nancy Wilson,Ron McMaster,soul,Something Wonderful Happens,2004,21
Nancy Wilson,Ron McMaster,soul,This Time The Dream's On Me - Remastered,2004,21
Nancy Wilson,Ron McMaster,soul,The Great City - Remastered,2004,20
Nancy Wilson,Ron McMaster,soul,If Dreams Come True,2004,20
Ben Webster,Gerry Mulligan,soul,Tell Me When,1997,34
Ben Webster,Gerry Mulligan,soul,Chelsea Bridge,1997,27
James Brown,The J.B.'s,soul,The Boss,1973,66
James Brown,The J.B.'s,soul,Down And Out In New York City,1973,52
James Brown,The J.B.'s,soul,Blind Man Can See It,1973,39
James Brown,The J.B.'s,soul,Sportin' Life,1973,28
James Brown,The J.B.'s,soul,Make It Good To Yourself,1973,28
James Brown,The J.B.'s,soul,People Get Up And Drive Your Funky Soul,1973,30
James Brown,The J.B.'s,soul,Dirty Harri,1973,26
James Brown,The J.B.'s,soul,"Like It Is, Like It Was",1973,26
James Brown,The J.B.'s,soul,Mama's Dead,1973,25
James Brown,The J.B.'s,soul,Chase,1973,23
James Brown,The J.B.'s,soul,Give It Up Or Turnit A Loose - Remix,1986,37
James Brown,The J.B.'s,soul,Blind Man Can See It - Extended,1986,25
James Brown,The J.B.'s,soul,Soul Power - Re-Edit / Mono,1986,23
James Brown,The J.B.'s,soul,Hot Pants (She Got To Use What She Got To Get What She Wants),1991,40
James Brown,The J.B.'s,soul,"Super Bad - Live At The Olympia, Paris / 1971",1992,22
James Brown,The J.B.'s,soul,Make It Funky - Pt. 1,1995,49
James Brown,The J.B.'s,soul,Hot Pants (She Got To Use What She Got To Get What She Wants) - Pt.1 / Single Version,2003,43
James Brown,The J.B.'s,soul,"There It Is - Live At Apollo Theater, New York, 1972",2003,22
James Brown,The J.B.'s,soul,Super Bad - Pts.1 & 2,2005,32
James Brown,Afrika Bambaataa,hip-hop,"Unity, Pt. 1 (The Third Coming)",1984,26
James Brown,2Pac,soul,Unchained (The Payback / Untouchable),2012,61
George Jones,Tammy Wynette,country,Take Me - Single Version,1971,20
George Jones,Tammy Wynette,rock,The Ceremony,1972,36
George Jones,Tammy Wynette,country,After The Fire Is Gone,1973,28
George Jones,Tammy Wynette,country,If Loving You Starts Hurting Me,1973,24
George Jones,Tammy Wynette,country,We're Gonna Hold On,1973,20
George Jones,Tammy Wynette,rock,We Loved It Away,1975,29
George Jones,Tammy Wynette,country,Tattletale Eyes,1976,27
George Jones,Tammy Wynette,country,(We're Not) The Jet Set,1977,23
George Jones,Tammy Wynette,country,Take Me,1977,22
George Jones,Tammy Wynette,country,Near You,1977,21
